Main Tpc,Terms,Summary
T1,Wissenschaft,"könn, unternehm, möglich, wird, sind, verschied, gibt, viel, besond, unterschied, verwendet, bereich, bzw, entwickelt, betrieb, entsprech, jeweil, entwickl, gmbh, stellt","Unternehmensverbindung oder Unternehmenszusammenschluss bezeichnet die vertraglich vereinbarte enge Zusammenarbeit verschiedener Unternehmen bzw. die wirtschaftliche und rechtliche Vereinigung verschiedener Unternehmen zu einer grösseren Wirtschaftseinheit. ..."
T2,Eishockey,"saison, leagu, spielzeit, wechselt, spielt, hockey, vertrag, team, hockey leagu, nhl, karri, liga, erzielt, stand, insgesamt, somm, absolviert, anschliess, draft, aktiv","Vincent Lecavalier ist ein ehemaliger kanadischer Eishockeyspieler. Der Angreifer verbrachte 14 Spielzeiten bei den Tampa Bay Lightning in der National Hockey League, die ihn im NHL Entry Draft 1998 an erster Gesamtposition ausgewählt hatten. ..."
T3,Musik,"album, band, the, lied, veröffentlicht, erschi, song, singl, musik, titel, spielt, platz, grupp, record, erreicht, stück, aufnahm, konzert, produziert, veröffentlich","Die Sugababes waren eine aus London kommende britische Pop-Girlgroup, deren ursprüngliche Besetzung sich 1998 formierte. Die Gruppe wurde von Keisha Buchanan, Mutya Buena und Siobhán Donaghy gegründet. Nach dem ersten Album und dem Top-Ten-Hit ""Overload"" ..."
T4,Botanik,"art, meist, gattung, breit, klein, millimet, selt, wenig, zentimet, met, läng, blüt, tier, vor, cm, häuf, weiss, sind, verbreitungsgebiet, kurz","Lycianthes ist eine Gattung in der Familie der Nachtschattengewächse . Die etwa 150 Arten wurden lange Zeit zu den Nachtschatten gezählt, gelten aber spätestens seit den umfangreichen Untersuchungen William D’Arcys als eigenständige Gattung."
T5,Religion,"kirch, st, jahrhundert, evangel, kathol, klost, heilig, bischof, pfarr, errichtet, turm, orgel, gemeind, johann, glock, bau, befindet, chor, ort, jahr wurd","Evangelisch-lutherische Kirchen gründen sich auf die Bibel, in Teilen auf die Dogmenbildung der alten Kirche und auf die Bekenntnisschriften der evangelisch-lutherischen Kirche, die im Zuge der Wittenberger Reformation von Martin Luther und anderen lutherischen Theologen, ..."
T6,Schienenverkehr,"streck, bahnhof, betrieb, züg, richtung, gleis, bahnstreck, abschnitt, bahn, bau, lini, verkehr, eröffnet, kilomet, verkehrt, zug, met, güterverkehr, strass, personenverkehr","Die Bahnstrecke Fitchburg–Greenfield ist eine Eisenbahnstrecke in Massachusetts . Sie ist rund 90 Kilometer lang und verbindet unter anderem die Städte Fitchburg, Gardner, Athol, Montague und Greenfield. Die normalspurige Strecke gehört der Pan Am Southern, ..."
T7,Geschichte,"könig, friedrich, johann, ii, heinrich, tod, kais, wilhelm, vat, karl, schloss, graf, herzog, tocht, ludwig, famili, starb, brud, kind, ehe","Georg Friedrich war 1604–1622 Markgraf von Baden-Durlach und protestantischer Heerführer im Dreissigjährigen Krieg. Da er die von seinem Bruder Ernst Friedrich eingeleitete oberbadische Okkupation fortsetzte, regierte er de facto auch die Markgrafschaft Baden-Baden und war bis zur ..."
T8,Recht,"of, the, university, and, of the, london, university of, colleg, lord, hous, john, britisch, school, titel, hous of, royal, william, for, england, baron","Als Disarming Act werden mehrere englische Gesetze bezeichnet, die im 18. Jahrhundert als Reaktion auf die Jakobiten-Aufstände in Schottland erlassen wurden. Das bekannteste und folgenreichste dieser Gesetze war der ""Act of Proscription"" von 1746. ..."
T9,Wettkampf,"platz, gewann, renn, sieg, erreicht, punkt, belegt, dritt, weltmeisterschaft, saison, best, meisterschaft, olymp, startet, rang, international, verlor, team, rund, viert","Damian Waniczek ist ein polnischer Naturbahnrodler. Er gehört sowohl im Einsitzer als auch im Doppelsitzer zu den stärksten seines Landes und zählt zusammen mit Andrzej Laszczak zu den international erfolgreichsten Doppelsitzerpaaren. ..."
T10,Film,"film, roll, best, spielt, sei, die, regisseur, frau, award, international, the, leb, festival, kind, hat, vat, schauspiel, seh, jung, hauptroll","Die Filmfestivals in Ozeanien gehen im Fall von Melbourne und Sydney auf die 1950er Jahre zurück, in Neuseeland auf die 1970er Jahre. Die meisten Filmfestivals in Ozeanien finden jedoch erst seit den 1990er Jahren statt. Ein Charakteristikum besonders in Australien ..."
